ID,Name,Class,Mark,Gender,Age,Hours_Studied
1,John,Fifth,75,Male,11,3
2,Jane,Fourth,85,Female,10,5
3,Mike,Third,95,Male,9,7
4,Lisa,Second,90,Female,8,6
5,Tom,Fifth,70,Male,11,2
6,Sara,Third,80,Female,9,4
7,Paul,Fourth,,Male,10,3
8,Anna,Second,88,Female,8,6
9,Kate,First,65,Female,7,2
10,Jim,Third,78,Male,9,4
11,Ella,Fifth,,Female,11,5
12,Jack,Fourth,92,Male,10,7
13,Mary,First,60,Female,7,1
14,Steve,Fifth,83,Male,11,5
15,Mia,Third,77,Female,9,3
16,Leo,Fifth,71,Male,11,2
17,Chloe,Fourth,86,Female,10,6
18,Luke,Third,89,Male,9,7
19,Grace,Second,91,Female,8,6
20,Ryan,Fifth,74,Male,11,3
23,Tom,Fifth,70,Male,11,2
24,Anna,Second,88,Female,8,12
25,Lisa,Second,,Female,8,5
26,Kate,First,65,Female,7,2
27,Jim,Third,,Male,9,4
28,Ella,Fifth,87,Female,11,6
29,Paul,Fourth,82,Male,10,5
30,Sara,Third,80,Female,9,4
31,Mary,First,60,Female,7,1
32,Leo,Fifth,71,Male,11,2
33,Mia,Third,77,Female,9,3
34,Steve,Fifth,83,Male,11,5
35,Grace,Second,91,Female,8,6
36,Ryan,Fifth,,Male,11,3
37,Luke,Third,89,Male,9,7
38,Chloe,Fourth,86,Female,10,6
39,Ella,Fifth,87,Female,11,6
40,Jack,Fourth,45,Male,20,7
